'cod_producto','nom_producto','val_cantidad_uc','des_path_foto'
'545','SMACK CUBANITO R/CHOC 25G','48','D:\Fotos\GOLOSINAS\VARIOS\545 546 547.jpg'
'546','SMACK OBLEA R/CHOC 33G','48','D:\Fotos\GOLOSINAS\VARIOS\545 546 547.jpg'
'547','SMACK BARRA RELL 35G X 12U','6','D:\Fotos\GOLOSINAS\VARIOS\545 546 547.jpg'
'548','ALFAJOR SMACK RELL. DULCE DE LECHE 60G','24','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\548.jpg'
'549','OBLEA NEVARES CHOCOLATE 80G','18','D:\Fotos\ALMACEN\GALLETITAS\549 550 551 552.jpg'
'550','OBLEA NEVARES LIMON 80G','18','D:\Fotos\ALMACEN\GALLETITAS\549 550 551 552.jpg'
'551','OBLEA NEVARES VAINILLA 80G','18','D:\Fotos\ALMACEN\GALLETITAS\549 550 551 552.jpg'
'552','OBLEA NEVARES FRUTILLA 80G','18','D:\Fotos\ALMACEN\GALLETITAS\549 550 551 552.jpg'
'569','NAIPES HABANA X 50U','12','D:\Fotos\VARIOS\569.jpg'
'570','BOLSAS CONSORCIO 90 X120  10U','25',''
'571','VELAS JACARANDA CORTA X 4U','50',''
'572','VELAS JACARANDA LARGA X 4U','25',''
'580','AZUCAR HILERET LIGHT X 500G','9','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\580 581.jpg'
'581','AZUCAR HILERET LIGHT X 250G','9','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\580 581.jpg'
'582','HILERET LIQUIDO CLASICO 250ML','9','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\582 583 588.jpg'
'583','HILERET LIQUIDO CLASICO 500ML','9','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\582 583 588.jpg'
'584','HILERET SOBRECITOS CLASICO 50U','8','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\585 584 587 586.jpg'
'585','HILERET SOBRECITOS CLASICO 100U','8','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\585 584 587 586.jpg'
